0x1F1 0x29C
0x1396 0xC99
0x1395 0xC98
0x139C 0xC9F
0x9E4 0x1E87
0x9E3 0x1E86
0x9E0 0x1E83
0x3D9 0x14B9
0x13A0 0xCA3
0x13A1 0xCA4
0x13A2 0xCA5
0x139B 0xC9E
0x13F1 0xCF4
0x139D 0xCA0
0x139E 0xCA1
0x13A4 0xCA7
0x13A5 0xCA8
0x13F2 0xCF5
0x13EC 0xCEF
0x13CF 0xCD2
0x13D1 0xCD4
0x1399 0xC9C
0x13A6 0xCA9
0x13D2 0xCD5
0x9DE 0x1E81
0x3D8 0x14B8
0x9DF 0x1E82
0xA03 0x1EAA
0xA04 0x1EAB
0x399 0x1515
0x9E2 0x1E85
0x9E1 0x1E84
0x9ED 0x1E94
0x9FB 0x1EA2
0xA02 0x1EA9
0x9F3 0x1E9A
0x9FA 0x1EA1
0x402 0x14E2
0x9F9 0x1EA0
0xDD7 0x168E
0x14BF 0xE43
0xA01 0x1EA8
0x14BD 0xE41
0x9F2 0x1E99
0x9F1 0x1E98
0x1471 0xDF5
0x9F0 0x1E97
0x9FC 0x1EA3
0x1472 0xDF6
0x133D 0x3B3
0x1353 0x3C9
0x148C 0xE10
0x148D 0xE11
0x133A 0x3B0
0xD9F 0x1656
0x1333 0x3A9
0x1332 0x3A8
0x1495 0xE19
0x1496 0xE1A
0x146F 0xDF3
0x1473 0xDF7
0x1474 0xDF8
0x1470 0xDF4
0x1497 0xE1B
0x1498 0xE1C
0x1478 0xDFC
0x1477 0xDFB
0x133E 0x3B4
0x14C4 0xE48
0x1476 0xDFA
0x1338 0x3AE
0x14C1 0xE45
0x14C3 0xE47
0x1475 0xDF9
0x567 0x1716
0xDDF 0x1696
0xDE0 0x1697
0x1479 0xDFD
0x14B9 0xE3D
0x133C 0x3B2
0xD9D 0x1654
0xD9E 0x1655
0xDA0 0x1657
0xDE1 0x1698
0x1334 0x3AA
0x1026 0x950
0x1027 0x951
0x1335 0x3AB
0x1336 0x3AC
0x1339 0x3AF
0x102F 0x959
0x1361 0x3D7
0xDE2 0x1699
0x1337 0x3AD
0xDA6 0x165D
0xE0E 0x16C5
0x14B7 0xE3B
0x14B8 0xE3C
0xE0D 0x16C4
0x1035 0x95F
0x147A 0xDFE
0x14B2 0xE36
0xE0B 0x16C2
0x14A9 0xE2D
0x14B3 0xE37
0x14B4 0xE38
0x14B6 0xE3A
0x14B5 0xE39
0xDB0 0x1667
0x14A8 0xE2C
0x103E 0x968
0x1040 0x96A
0x14AA 0xE2E
0x14AD 0xE31
0x8F1 0x13AA
0x8F2 0x13AB
0xDB1 0x1668
0x1041 0x96B
0x8F3 0x13AC
0x1492 0xE16
0x1493 0xE17
0x1015 0x93F
0x1014 0x93E
0x902 0x13BB
0x8FA 0x13B3
0x8FB 0x13B4
0x8F4 0x13AD
0x1494 0xE18
0x903 0x13BC
0x8FC 0x13B5
0x8EE 0x13A7
0x8EB 0x13A4
0x8D9 0x1392
0x8DA 0x1393
0x8DB 0x1394
0x8DC 0x1395
0x904 0x13BD
0x8DD 0x1396
0x905 0x13BE
0x8DE 0x1397
0x906 0x13BF
0x8DF 0x1398
0xDB2 0x1669
0x8D5 0x138E
0x1013 0x93D
0xE0C 0x16C3
0x8D6 0x138F
0xDA1 0x1658
0x878 0x1040
0x1012 0x93C
0x100A 0x934
0x1009 0x933
0x103A 0x964
0x103C 0x966
0x103B 0x965
0x103D 0x967
0x55B 0x170A
0x55C 0x170B
0x55D 0x170C
0x56C 0x171B
0x564 0x1713
0x565 0x1714
0x55E 0x170D
0xDA2 0x1659
0x56D 0x171C
0x1354 0x3CA
0x6DA 0x18C9
0x6D2 0x18C1
0x6D3 0x18C2
0x895 0x1107
0x894 0x1106
0x6CC 0x18BB
0xE0A 0x16C1
0x896 0x1108
0x55A 0x1709
0x8A5 0x1117
0x89D 0x110F
0x89E 0x1110
0x897 0x1109
0x8A6 0x1118
0x89F 0x1111
0x891 0x1103
0x88D 0x10FF
0x88E 0x1100
0x87D 0x10EF
0x88F 0x1101
0x87E 0x10F0
0x8A7 0x1119
0x87F 0x10F1
0x880 0x10F2
0x8A8 0x111A
0x8A9 0x111B
0x881 0x10F3
0x87A 0x10EC
0x876 0x103E
0xE09 0x16C0
0x14D1 0xE80
0x14CC 0xE7B
0x14CE 0xE7D
0x14D0 0xE7F
0x14CF 0xE7E
0x875 0x103D
0xE07 0x16BE
0xDA3 0x165A
0xDD6 0x168D
0xDA8 0x165F
0x555 0x1704
0x554 0x1703
0xDA9 0x1660
0xDAA 0x1661
0xDAC 0x1663
0xDAB 0x1662
0x522 0x16CD
0xDFC 0x16B3
0xDFD 0x16B4
0x523 0x16CE
0xDFE 0x16B5
0xE01 0x16B8
0x754 0x1A18
0xE02 0x16B9
0xE03 0x16BA
0xDF3 0x16AA
0xDF2 0x16A9
0xDF7 0x16AE
0x556 0x1705
0x524 0x16CF
0xDF8 0x16AF
0x731 0x19F5
0xDAF 0x1666
0x748 0x1A0C
0x525 0x16D0
0x8BF 0x1253
0x8C0 0x1254
0x749 0x1A0D
0x8C1 0x1255
0x74A 0x1A0E
0x8D0 0x1264
0x8C8 0x125C
0x8C9 0x125D
0x8C2 0x1256
0x8D1 0x1265
0x8CA 0x125E
0x8BE 0x1252
0x8B8 0x124C
0xDAD 0x1664
0x8B9 0x124D
0x8D2 0x1266
0x8D4 0x1268
0xDB4 0x166B
0x759 0x1A1D
0x8AA 0x123E
0x751 0x1A15
0x752 0x1A16
0x74B 0x1A0F
0x75A 0x1A1E
0x744 0x1A08
0x741 0x1A05
0x9A5 0x1CB2
0x8AC 0x1240
0x877 0x103F
0x1100 0xA81
0x10FE 0xA7F
0x10FF 0xA80
0x10FD 0xA7E
0x10CC 0xA4D
0x10CD 0xA4E
0x10D5 0xA56
0x10D6 0xA57
0x10AA 0xA2B
0x10AB 0xA2C
0x10D7 0xA58
0x10D8 0xA59
0x10AF 0xA30
0x106A 0x9BC
0x109D 0x9EF
0x109B 0x9ED
0x1104 0xA85
0x1102 0xA83
0x1101 0xA82
0x526 0x16D1
0x10AC 0xA2D
0x3ED 0x14CD
0x742 0x1A06
0xA0B 0x1F14
0x10AD 0xA2E
0x10AE 0xA2F
0x743 0x1A07
0x109F 0x9F1
0xA0A 0x1F13
0xA09 0x1F12
0x75D 0x1A21
0xA07 0x1F10
0x75C 0x1A20
0x75B 0x1A1F
0x72E 0x19F2
0xA33 0x1F40
0x10BB 0xA3C
0x1103 0xA84
0xA32 0x1F3F
0x10B8 0xA39
0x10B9 0xA3A
0x10BA 0xA3B
0x72F 0x19F3
0xA06 0x1F0F
0x10F2 0xA73
0x10ED 0xA6E
0x10B0 0xA31
0x10B1 0xA32
0x10B2 0xA33
0x10B3 0xA34
0x10B4 0xA35
0x10B5 0xA36
0x10B6 0xA37
0x10B7 0xA38
0x10E8 0xA69
0x10D1 0xA52
0xA0C 0x1F15
0xA19 0x1F26
0x730 0x19F4
0x733 0x19F7
0xA18 0x1F25
0xA17 0x1F24
0xA1A 0x1F27
0xA29 0x1F36
0x732 0x19F6
0xA30 0x1F3D
0xA21 0x1F2E
0xA28 0x1F35
0xA27 0x1F34
0x1A2D 0x7B1
0x1A2B 0x7AF
0x19FA 0x77E
0x10D0 0xA51
0x9AC 0x1CB9
0x99D 0x1CAA
0x9A4 0x1CB1
0x9A3 0x1CB0
0x9AB 0x1CB8
0x99C 0x1CA9
0x9D3 0x1D49
0x99B 0x1CA8
0x99A 0x1CA7
0x9A6 0x1CB3
0x9B6 0x1D2C
0x9B3 0x1D29
0x9B2 0x1D28
0x9B0 0x1D26
0x9B1 0x1D27
0x9C0 0x1D36
0x9C4 0x1D3A
0x9D2 0x1D48
0x9D9 0x1D4F
0x9CA 0x1D40
0x9D1 0x1D47
0x9D0 0x1D46
0x9D8 0x1D4E
0x9C7 0x1D3D
0x9C8 0x1D3E
0x9C9 0x1D3F
0xD38 0x15BB
0x179F 0x1CC4
0x17F6 0x1D1B
0x17F7 0x1D1C
0x17F8 0x1D1D
0x17F9 0x1D1E
0x17AD 0x1CD2
0x179E 0x1CC3
0x17CD 0x1CF2
0x17CC 0x1CF1
0x17A9 0x1CCE
0x17AA 0x1CCF
0x17AB 0x1CD0
0x17AC 0x1CD1
0x17AE 0x1CD3
0x17A7 0x1CCC
0x17A8 0x1CCD
0x17B0 0x1CD5
0x17B1 0x1CD6
0x1799 0x1CBE
0x1798 0x1CBD
0x17AF 0x1CD4
0x17A0 0x1CC5
0x179D 0x1CC2
0x179C 0x1CC1
0x17A5 0x1CCA
0x179B 0x1CC0
0x17A6 0x1CCB
0x1730 0x1C2A
0x172F 0x1C29
0x172E 0x1C28
0x1758 0x1C52
0x1763 0x1C5D
0x1739 0x1C33
0x1759 0x1C53
0x179A 0x1CBF
0x1761 0x1C5B
0x1762 0x1C5C
0x1731 0x1C2B
0x1732 0x1C2C
0x1774 0x1C6E
0x1764 0x1C5E
0x1735 0x1C2F
0x1790 0x1C8A
0x178D 0x1C87
0x1745 0x1C3F
0x178F 0x1C89
0x1744 0x1C3E
0x17CB 0x1CF0
0x1736 0x1C30
0x17CA 0x1CEF
0x1733 0x1C2D
0x17C2 0x1CE7
0x1734 0x1C2E
0x173A 0x1C34
0x1746 0x1C40
0x174A 0x1C44
0x17C1 0x1CE6
0x17F2 0x1D17
0x17F4 0x1D19
0x17F3 0x1D18
0x172D 0x1C27
0x1783 0x1C7D
0x1738 0x1C32
0x1737 0x1C31
0x17F5 0x1D1A
0x15BC 0x121B
0x1748 0x1C42
0x1749 0x1C43
0x1740 0x1C3A
0x173F 0x1C39
0x173C 0x1C36
0x173E 0x1C38
0x1747 0x1C41
0x173B 0x1C35
0x173D 0x1C37
0x1741 0x1C3B
0x1784 0x1C7E
0x1785 0x1C7F
0x1786 0x1C80
0x1787 0x1C81
0x1742 0x1C3C
0x177D 0x1C77
0x1779 0x1C73
0x177C 0x1C76
0x177A 0x1C74
0x177B 0x1C75
0x177F 0x1C79
0x177E 0x1C78
0x175C 0x1C56
0x1780 0x1C7A
0x15BB 0x121A
0x15CC 0x122B
0x15CD 0x122C
0x15CB 0x122A
0x15CA 0x1229
0x15C7 0x1226
0x15C8 0x1227
0x15C5 0x1224
0x15C6 0x1225
0x1590 0x11EF
0x158F 0x11EE
0x158E 0x11ED
0x15D4 0x1233
0x15D6 0x1235
0x15D7 0x1236
0x1589 0x11E8
0x1592 0x11F1
0x15AB 0x120A
0x15AA 0x1209
0x1580 0x11DF
0x1588 0x11E7
0x1587 0x11E6
0x1586 0x11E5
0x1585 0x11E4
0x1584 0x11E3
0x1582 0x11E1
0x1581 0x11E0
0x157F 0x11DE
0x15A9 0x1208
0x15A8 0x1207
0x1591 0x11F0
0x15A0 0x11FF
0x1583 0x11E2
0x157E 0x11DD
0x157D 0x11DC
0x159F 0x11FE
0x15D0 0x122F
0x15D2 0x1231
0x15D1 0x1230
0x15D3 0x1232
0x152B 0x109A
0x152E 0x109D
0x1528 0x1097
0x1546 0x10B5
0x1529 0x1098
0x1527 0x1096
0x1572 0x10E1
0x1575 0x10E4
0x1574 0x10E3
0x152C 0x109B
0x152D 0x109C
0x1549 0x10B8
0x1548 0x10B7
0x1526 0x1095
0x1525 0x1094
0x1547 0x10B6
0x1523 0x1092
0x153E 0x10AD
0x1524 0x1093
0x153D 0x10AC
0x156E 0x10DD
0x1570 0x10DF
0x156F 0x10DE
0x1571 0x10E0
0x1634 0x136A
0x1643 0x1379
0x163E 0x1374
0x163F 0x1375
0x1635 0x136B
0x1604 0x133A
0x15F1 0x1327
0x1600 0x1336
0x15EF 0x1325
0x15F9 0x132F
0x15FF 0x1335
0x15F8 0x132E
0x15F7 0x132D
0x15FA 0x1330
0x15F2 0x1328
0x15F6 0x132C
0x15F0 0x1326
0x15F3 0x1329
0x15ED 0x1323
0x1624 0x135A
0x1623 0x1359
0x15E0 0x1316
0x15E9 0x131F
0x15EA 0x1320
0x15EB 0x1321
0x15EC 0x1322
0x15E8 0x131E
0x15E7 0x131D
0x15E6 0x131C
0x15E5 0x131B
0x15DF 0x1315
0x1622 0x1358
0x1621 0x1357
0x1619 0x134F
0x1601 0x1337
0x1618 0x134E
0x1602 0x1338
0x1649 0x137F
0x15E2 0x1318
0x164B 0x1381
0x15E1 0x1317
0x164A 0x1380
0x15E4 0x131A
0x1603 0x1339
0x164C 0x1382
0x15E3 0x1319
0x112B 0x17CB
0x112A 0x17CA
0x112C 0x17CC
0x1129 0x17C9
0x1942 0x1FAB
0x1940 0x1FA9
0x190E 0x1F77
0x1941 0x1FAA
0x193F 0x1FA8
0x190F 0x1F78
0x1146 0x17E6
0x1917 0x1F80
0x1918 0x1F81
0x193E 0x1FA7
0x18DA 0x1F43
0x18E1 0x1F4A
0x18DB 0x1F44
0x18E2 0x1F4B
0x18D9 0x1F42
0x1919 0x1F82
0x191A 0x1F83
0x1946 0x1FAF
0x1945 0x1FAE
0x1943 0x1FAC
0x18D8 0x1F41
0x1944 0x1FAD
0x18E6 0x1F4F
0x1141 0x17E1
0x18DF 0x1F48
0x18E5 0x1F4E
0x1140 0x17E0
0x18FC 0x1F65
0x18DC 0x1F45
0x18E7 0x1F50
0x1128 0x17C8
0x18FE 0x1F67
0x110F 0x17AF
0x114A 0x17EA
0x114B 0x17EB
0x1114 0x17B4
0x1110 0x17B0
0x1112 0x17B2
0x1113 0x17B3
0x18F9 0x1F62
0x18F4 0x1F5D
0x110C 0x17AC
0x18FA 0x1F63
0x18FB 0x1F64
0x1159 0x17F9
0x115A 0x17FA
0x115B 0x17FB
0x192A 0x1F93
0x18DD 0x1F46
0x115C 0x17FC
0x18E4 0x1F4D
0x18E3 0x1F4C
0x1939 0x1FA2
0x193B 0x1FA4
0x1936 0x1F9F
0x1130 0x17D0
0x18DE 0x1F47
0x1934 0x1F9D
0x112F 0x17CF
0x18EC 0x1F55
0x18ED 0x1F56
0x18EE 0x1F57
0x18FD 0x1F66
0x18E8 0x1F51
0x18EF 0x1F58
0x192B 0x1F94
0x1F58 0x27F4
0x1935 0x1F9E
0x18E9 0x1F52
0x19A1 0x203D
0x199F 0x203B
0x19A0 0x203C
0x199E 0x203A
0x196D 0x2009
0x196E 0x200A
0x110E 0x17AE
0x1976 0x2012
0x1951 0x1FED
0x1977 0x2013
0x194F 0x1FEB
0x1950 0x1FEC
0x1978 0x2014
0x1979 0x2015
0x19A5 0x2041
0x19A4 0x2040
0x19A2 0x203E
0x194E 0x1FEA
0x19A3 0x203F
0x110D 0x17AD
0x112E 0x17CE
0x112D 0x17CD
0x1956 0x1FF2
0x1959 0x1FF5
0x1953 0x1FEF
0x1954 0x1FF0
0x1955 0x1FF1
0x1125 0x17C5
0x1124 0x17C4
0x1155 0x17F5
0x1157 0x17F7
0x1156 0x17F6
0x1158 0x17F8
0x1B4C 0x2234
0x1697 0x1A61
0x1696 0x1A60
0x1695 0x1A5F
0x16B3 0x1A7D
0x1665 0x1A2F
0x16B2 0x1A7C
0x16AE 0x1A78
0x1993 0x202F
0x1994 0x2030
0x195A 0x1FF6
0x16AD 0x1A77
0x195B 0x1FF7
0x1989 0x2025
0x1974 0x2010
0x16BD 0x1A87
0x1971 0x200D
0x1972 0x200E
0x1973 0x200F
0x16BC 0x1A86
0x16B7 0x1A81
0x16BA 0x1A84
0x16B9 0x1A83
0x1663 0x1A2D
0x1664 0x1A2E
0x165E 0x1A28
0x16C7 0x1A91
0x16C6 0x1A90
0x16C8 0x1A92
0x16C9 0x1A93
0x165F 0x1A29
0x169D 0x1A67
0x169C 0x1A66
0x1659 0x1A23
0x165D 0x1A27
0x165C 0x1A26
0x165B 0x1A25
0x165A 0x1A24
0x1658 0x1A22
0x169B 0x1A65
0x169A 0x1A64
0x1692 0x1A5C
0x1691 0x1A5B
0x16C2 0x1A8C
0x16C4 0x1A8E
0x16C3 0x1A8D
0x16C5 0x1A8F
0x1B2F 0x2146
0x1B2E 0x2145
0x1B2D 0x2144
0x1B08 0x211F
0x1B07 0x211E
0x1B05 0x211C
0x1B06 0x211D
0x1B31 0x2148
0x1B34 0x214B
0x1B33 0x214A
0x1AD9 0x20F0
0x1ADC 0x20F3
0x1ADB 0x20F2
0x1AC8 0x20DF
0x1AC6 0x20DD
0x1AC5 0x20DC
0x1AC7 0x20DE
0x1B01 0x2118
0x1B02 0x2119
0x1B03 0x211A
0x1AAE 0x20C5
0x1AAD 0x20C4
0x1AB0 0x20C7
0x1AAF 0x20C6
0x1B19 0x2130
0x1AB4 0x20CB
0x17A4 0x1CC9
0x1AB1 0x20C8
0x1AB2 0x20C9
0x1B17 0x212E
0x1B16 0x212D
0x186A 0x1E75
0x1868 0x1E73
0x1869 0x1E74
0x1867 0x1E72
0x1836 0x1E41
0x1837 0x1E42
0x1AF0 0x2107
0x183F 0x1E4A
0x1840 0x1E4B
0x1802 0x1E0D
0x1803 0x1E0E
0x1841 0x1E4C
0x1842 0x1E4D
0x186E 0x1E79
0x186D 0x1E78
0x186B 0x1E76
0x186C 0x1E77
0x1AED 0x2104
0x1AEE 0x2105
0x1AEF 0x2106
0x1801 0x1E0C
0x1821 0x1E2C
0x1822 0x1E2D
0x1AD2 0x20E9
0x1AD1 0x20E8
0x1AE7 0x20FE
0x1AE8 0x20FF
0x1AB6 0x20CD
0x1AB5 0x20CC
0x1AB8 0x20CF
0x1825 0x1E30
0x1823 0x1E2E
0x1AB7 0x20CE
0x1AF8 0x210F
0x1824 0x1E2F
0x1AF6 0x210D
0x1826 0x1E31
0x1AF7 0x210E
0x1AF5 0x210C
0x185C 0x1E67
0x185D 0x1E68
0x185E 0x1E69
0x185F 0x1E6A
0x1AE2 0x20F9
0x1863 0x1E6E
0x1AE4 0x20FB
0x1805 0x1E10
0x1806 0x1E11
0x1807 0x1E12
0x1808 0x1E13
0x1809 0x1E14
0x180A 0x1E15
0x1810 0x1E1B
0x1812 0x1E1D
0x1852 0x1E5D
0x1853 0x1E5E
0x1854 0x1E5F
0x1855 0x1E60
0x1856 0x1E61
0x1829 0x1E34
0x1857 0x1E62
0x183A 0x1E45
0x183B 0x1E46
0x1AE1 0x20F8
0x1B21 0x2138
0x1816 0x1E21
0x1817 0x1E22
0x1818 0x1E23
0x1819 0x1E24
0x181A 0x1E25
0x181D 0x1E28
0x181C 0x1E27
0x181B 0x1E26
0x1827 0x1E32
0x1B23 0x213A
0x1B47 0x215E
0x1B45 0x215C
0x1B28 0x213F
0x1B27 0x213E
0x1B42 0x2159
0x1B44 0x215B
0x1B43 0x215A
0x1B41 0x2158
0x1ACF 0x20E6
0x1ACD 0x20E4
0x1AD0 0x20E7
0x1AFC 0x2113
0x1AFB 0x2112
0x1B38 0x214F
0x1B36 0x214D
0x1B37 0x214E
0x1B35 0x214C
0x1AEB 0x2102
0x1AEC 0x2103
0x1B13 0x212A
0x1B12 0x2129
0x1B14 0x212B
0x1B11 0x2128
0x1B0B 0x2122
0x1B09 0x2120
0x1B0C 0x2123
0x1B3F 0x2156
0x1ABC 0x20D3
0x1ABB 0x20D2
0x1AC0 0x20D7
0x1ABF 0x20D6
0x1B2B 0x2142
0x1B2A 0x2141
0x1B29 0x2140
0x1B2C 0x2143
0x1AF3 0x210A
0x1AF2 0x2109
0x1AF1 0x2108
0x1AFF 0x2116
0x1AFD 0x2114
0x1AAC 0x20C3
0x1AAA 0x20C1
0x1AAB 0x20C2
0x1AA9 0x20C0
0x171A 0x1571
0x16F1 0x1548
0x16F0 0x1547
0x16F2 0x1549
0x170E 0x1565
0x170D 0x1564
0x170C 0x1563
0x170B 0x1562
0x170A 0x1561
0x1709 0x1560
0x1708 0x155F
0x1719 0x1570
0x1718 0x156F
0x16D5 0x152C
0x16DF 0x1536
0x16DE 0x1535
0x16DB 0x1532
0x16D4 0x152B
0x16E0 0x1537
0x16DD 0x1534
0x1721 0x1578
0x1722 0x1579
0x16D1 0x1528
0x1724 0x157B
0x16F8 0x154F
0x16F7 0x154E
0x16D3 0x152A
0x16D2 0x1529
0x16F6 0x154D
0x16F5 0x154C
0x16ED 0x1544
0x18CC 0x1F03
0x18CA 0x1F01
0x18CB 0x1F02
0x18C9 0x1F00
0x1898 0x1ECF
0x1899 0x1ED0
0x16EC 0x1543
0x18A1 0x1ED8
0x18A2 0x1ED9
0x1876 0x1EAD
0x1877 0x1EAE
0x18A3 0x1EDA
0x18A4 0x1EDB
0x187D 0x1EB4
0x187B 0x1EB2
0x1878 0x1EAF
0x18D0 0x1F07
0x18CF 0x1F06
0x18CD 0x1F04
0x171D 0x1574
0x171F 0x1576
0x171E 0x1575
0x18CE 0x1F05
0x1720 0x1577
0x1275 0x19B9
0x1274 0x19B8
0x125B 0x199F
0x1273 0x19B7
0x128F 0x19D3
0x128D 0x19D1
0x128B 0x19CF
0x1889 0x1EC0
0x128A 0x19CE
0x1879 0x1EB0
0x129B 0x19DF
0x1888 0x1EBF
0x129A 0x19DE
0x1299 0x19DD
0x1295 0x19D9
0x1294 0x19D8
0x125E 0x19A2
0x18BE 0x1EF5
0x18C3 0x1EFA
0x125C 0x19A0
0x18C5 0x1EFC
0x125D 0x19A1
0x188A 0x1EC1
0x18B9 0x1EF0
0x18BA 0x1EF1
0x1259 0x199D
0x187F 0x1EB6
0x1880 0x1EB7
0x1881 0x1EB8
0x1882 0x1EB9
0x1883 0x1EBA
0x1884 0x1EBB
0x187E 0x1EB5
0x1885 0x1EBC
0x1886 0x1EBD
0x1887 0x1EBE
0x125A 0x199E
0x1290 0x19D4
0x128C 0x19D0
0x12A5 0x19E9
0x12A4 0x19E8
0x1256 0x199A
0x12A3 0x19E7
0x12A6 0x19EA
0x127A 0x19BE
0x1279 0x19BD
0x1258 0x199C
0x1257 0x199B
0x1278 0x19BC
0x1277 0x19BB
0x126F 0x19B3
0x126E 0x19B2
0x129F 0x19E3
0x12A1 0x19E5
0x12A0 0x19E4
0x12A2 0x19E6
0x1174 0x183F
0x11A3 0x186E
0x11A2 0x186D
0x118B 0x1856
0x118E 0x1859
0x1190 0x185B
0x11AD 0x1878
0x11AC 0x1877
0x11AB 0x1876
0x11AA 0x1875
0x118F 0x185A
0x116D 0x1838
0x11C8 0x1893
0x1175 0x1840
0x1172 0x183D
0x1183 0x184E
0x1170 0x183B
0x116E 0x1839
0x117E 0x1849
0x117B 0x1846
0x1189 0x1854
0x118A 0x1855
0x1184 0x184F
0x1185 0x1850
0x1191 0x185C
0x1188 0x1853
0x1186 0x1851
0x1187 0x1852
0x1171 0x183C
0x1173 0x183E
0x1177 0x1842
0x1178 0x1843
0x11A9 0x1874
0x11A8 0x1873
0x1165 0x1830
0x1164 0x182F
0x11A7 0x1872
0x118C 0x1857
0x11A6 0x1871
0x119E 0x1869
0x119D 0x1868
0x11CE 0x1899
0x1A81 0x2098
0x1A80 0x2097
0x1A78 0x208F
0x1A79 0x2090
0x1A7B 0x2092
0x1A7A 0x2091
0x1A7E 0x2095
0x1A7F 0x2096
0x1A7C 0x2093
0x1A7D 0x2094
0x1A84 0x209B
0x1A82 0x2099
0x1A93 0x20AA
0x1A92 0x20A9
0x1A8A 0x20A1
0x1A8B 0x20A2
0x1A8D 0x20A4
0x1A8C 0x20A3
0x1A90 0x20A7
0x1A91 0x20A8
0x1A8E 0x20A5
0x1A8F 0x20A6
0x1A96 0x20AD
0x1A95 0x20AC
0x1A94 0x20AB
0x1A89 0x20A0
0x1AA5 0x20BC
0x1AA4 0x20BB
0x1A9C 0x20B3
0x1A9D 0x20B4
0x1A9F 0x20B6
0x1A9E 0x20B5
0x1AA2 0x20B9
0x1AA3 0x20BA
0x1AA0 0x20B7
0x1AA1 0x20B8
0x1AA8 0x20BF
0x1AA7 0x20BE
0x1AA6 0x20BD
0x1A6F 0x2086
0x1A6E 0x2085
0x1A66 0x207D
0x1A67 0x207E
0x1A69 0x2080
0x1A68 0x207F
0x1A6C 0x2083
0x1A6D 0x2084
0x1A6A 0x2081
0x1A6B 0x2082
0x1A72 0x2089
0x1A70 0x2087
0x1A71 0x2088
0x11D0 0x189B
0x11CF 0x189A
0x11D1 0x189C
0x11EF 0x18E0
0x11EE 0x18DF
0x11ED 0x18DE
0x11E5 0x18D6
0x11EB 0x18DC
0x11EA 0x18DB
0x11E9 0x18DA
0x11E8 0x18D9
0x11E7 0x18D8
0x11E6 0x18D7
0x1238 0x1929
0x1237 0x1928
0x1233 0x1924
0x1232 0x1923
0x1242 0x1933
0x1241 0x1932
0x123D 0x192E
0x11F3 0x18E4
0x11F2 0x18E3
0x11F1 0x18E2
0x11F0 0x18E1
0x11EC 0x18DD
0x123C 0x192D
0x124C 0x193D
0x124B 0x193C
0x11E0 0x18D1
0x124D 0x193E
0x124E 0x193F
0x11DF 0x18D0
0x11E2 0x18D3
0x1222 0x1913
0x1221 0x1912
0x11DE 0x18CF
0x11DD 0x18CE
0x1220 0x1911
0x121F 0x1910
0x1217 0x1908
0x1216 0x1907
0x1247 0x1938
0x1249 0x193A
0x1248 0x1939
0x124A 0x193B
0x1B49 0x222D
0x1F87 0x2823
0x1F85 0x2821
0x1F90 0x282C
0x1F8D 0x2829
0x1F7F 0x281B
0x1AB3 0x20CA
